l1_category,revenue,total_qty,profit,profit_margin
Masks & Sanitizers,3823407.002,38464.0,785727.650984,0.20550458022726611
Wound Care And Pain Relief,3562274.7569999998,40815.0,406127.4377889999,0.11400789256666534
Tea & Coffee,3115289.6109999996,12633.0,252721.76701299995,0.08112304105552387
Salad Dressings,3087985.3180000004,34077.0,454237.43884300004,0.14709831558953027
Flowers & Leaves,3037747.2069999995,46327.0,953481.8001729997,0.31387792834632666
Sauces & Spreads,2993603.7509999997,13343.0,739468.288469,0.2470160882922411
Chocolates & Candies,2591467.5840000003,8388.0,713716.5485859998,0.27541017799819784
Condensed Milk,2457392.163,20955.0,206108.12125,0.08387270227084222
Festive & Occasion Needs,2320748.354,16296.0,940162.2059350002,0.4051116547447092
Cosmetics,2215550.4519999996,17255.0,262531.620771,0.11849498644186146
Combo & Recipes,2203489.2320000003,34212.0,809415.3539860001,0.3673334737612187
Electronic Accessories,2127927.1169999996,7018.0,650065.022097,0.3054921462787112
Mouth Fresheners,1850046.3550000004,23686.0,508975.0453330001,0.2751147526425088
Herbal Drinks,1769680.3179999997,10193.0,280059.86499699997,0.15825449497766297
Lights,1745473.632,7904.0,547674.975609,0.3137686903820269
Kids Toys & More,1651952.456,5817.0,409938.8432609999,0.2481541413447312
Soup,1493486.0420000001,34455.0,153043.165769,0.10247378379516184
Oral & Nasal Care,1424411.9070000001,17832.0,220380.10551199995,0.15471655665680975
Cough & Cold,1361665.7330000002,27423.0,180222.4832040001,0.13235442358304544
Bath & Beauty Gifts,1312583.638,2703.0,-66880.38854000001,-0.05095323955272404
Breakfast & More,1253786.5610000002,4369.0,304519.1165730001,0.2428795506709854
Cooking Essentials,1230740.713,6196.0,232111.57077499994,0.18859502113098614
Cookies & Wafers,1195515.454,4763.0,320014.51797399996,0.2676791143964585
Adult Diapers,1153110.598,2484.0,119852.5814,0.10393849610599104
Asian Sauces,1152518.9930000002,16835.0,182651.64270000003,0.15848037542926635
Chyawanprash,1103239.367,3773.0,49129.37118800002,0.04453192358571811
"Clothing, Footwear & Accessories",1087895.8420000002,3371.0,328136.5302670001,0.3016249512120114
Baby Pharma,965406.106,6436.0,180412.9731660001,0.18687780411241783
Dairy Products,935100.8589999999,7992.0,171278.05518699996,0.1831653276098637
Fish & Seafood,929560.434,4889.0,176163.94811900004,0.18951317383523666
Gourmet Bakery,894208.6639999998,9810.0,195018.16367200005,0.21809021934504552
