l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Toilet Cleaners & More,34556563.980000004,31689703.94997701,2866860.0300229993,251354.0,0.08296137404408108,3.4556563980000004,0.2866860030022999,0.0251354
Healthy Snacks,17678181.492,14856488.618970007,2821692.8730300013,295704.0,0.15961443060797384,1.7678181491999998,0.2821692873030001,0.0295704
Cookies,27391244.08,24809814.226616986,2581429.8533830005,435318.0,0.09424288454527914,2.739124408,0.25814298533830005,0.0435318
Stationery Needs,11011660.311999999,8524431.442513002,2487228.869487001,145562.0,0.22587228437990717,1.1011660312,0.24872288694870012,0.0145562
Soda & Mixers,14463983.213999998,12026379.438107,2437603.775893,320747.0,0.16852921770080537,1.4463983213999998,0.2437603775893,0.0320747
Milk Drinks,32172449.288999986,29737754.713471994,2434694.575528,1442205.0,0.07567638241209199,3.2172449288999987,0.2434694575528,0.1442205
Cream Biscuits,31856870.941,29460428.06530301,2396442.875697,537380.0,0.07522530634396872,3.1856870941,0.2396442875697,0.053738
Cigarettes & Tobacco,26623860.277000003,24301175.013192993,2322685.263807001,93195.0,0.08724073968392697,2.6623860277,0.2322685263807001,0.0093195
Concentrates & Syrups,22765398.772,20463902.09765699,2301496.674343,155909.0,0.10109626004766917,2.2765398772,0.23014966743430001,0.0155909
Sexual Wellness,13009398.071999997,10720697.930561002,2288700.1414389997,90664.0,0.17592667460648675,1.3009398071999998,0.22887001414389996,0.0090664
Batter,15626806.969999997,13347618.309143003,2279188.6608570013,184257.0,0.1458512071744751,1.5626806969999998,0.22791886608570014,0.0184257
Bathroom Essentials,5288308.2749999985,3089241.008437001,2199067.2665630006,37636.0,0.4158356798068852,0.5288308274999999,0.21990672665630007,0.0037636
Indian Sweets,10867471.605,8695388.732084002,2172082.8729159995,67311.0,0.19987012176012026,1.0867471605,0.21720828729159994,0.0067311
Fruit Juices,65020912.723000005,62850082.388681985,2170830.334318001,1102583.0,0.033386648132210976,6.5020912723,0.21708303343180008,0.1102583
Pooja Needs,8908801.219999995,6745344.348991002,2163456.8710089996,151387.0,0.24284489209974772,0.8908801219999996,0.21634568710089996,0.0151387
Smoking Needs,4902138.018999999,2839599.7375740004,2062538.2814259997,36078.0,0.42074259709373557,0.4902138018999999,0.20625382814259996,0.0036078
Baby Food,17791987.753000002,15834511.758954003,1957475.9940460003,53431.0,0.11002008438972423,1.7791987753000003,0.19574759940460004,0.0053431
Cheese,40917436.58800001,38985165.992907,1932270.5950930004,273083.0,0.04722364733033359,4.0917436588000005,0.19322705950930005,0.0273083
Facial Care,30970152.237000007,29132107.882338006,1838044.354662,193803.0,0.05934889633723177,3.0970152237000006,0.18380443546619998,0.0193803
Coffee,32625275.777,30807574.84266099,1817700.9343390006,196777.0,0.055714500216437535,3.2625275777,0.18177009343390005,0.0196777
Electrical Accessories,8413752.758000001,6646842.156639004,1766910.6013610007,64403.0,0.21000267682943013,0.8413752758000002,0.17669106013610006,0.0064403
Chocolate Packs,23399027.848,21719818.853251994,1679208.9947479998,186750.0,0.07176404958599714,2.3399027848,0.1679208994748,0.018675
Other Flours,5389325.505000001,3883066.0833619996,1506259.4216379998,97946.0,0.27948941295910823,0.5389325505000001,0.1506259421638,0.0097946
Dates & Seeds,8448510.200000001,6951055.222725002,1497454.9772750002,89150.0,0.17724485640971352,0.8448510200000001,0.1497454977275,0.008915
Handwash,20229908.929,18755798.810747,1474110.118253,186577.0,0.07286785736043686,2.0229908929000002,0.1474110118253,0.0186577
Glucose & Marie,19630062.740000002,18204128.819431,1425933.9205689994,336267.0,0.0726403139641213,1.9630062740000003,0.14259339205689994,0.0336267
Candies & Gum,8967704.842999998,7638751.398735,1328953.4442649991,191612.0,0.14819326321855386,0.8967704842999998,0.13289534442649992,0.0191612
Pasta,17366757.709,16050098.132849999,1316659.5761500003,281535.0,0.07581493323118489,1.7366757708999998,0.13166595761500002,0.0281535
Cooking Sauces & Paste,11408962.846,10097641.487337004,1311321.3586630002,212588.0,0.11493782356586,1.1408962846000001,0.13113213586630001,0.0212588
Energy Drinks,31746516.012,30469760.650338013,1276755.3616619997,227581.0,0.04021718040428101,3.1746516012,0.12767553616619998,0.0227581
Chutney & Pickle,7375908.376,6117119.972029,1258788.4039710003,85773.0,0.17066215302604518,0.7375908376,0.12587884039710004,0.0085773
Oral Care,37172507.33,35935281.88805299,1237225.4419469996,304980.0,0.03328334650561759,3.7172507329999998,0.12372254419469997,0.030498
Dishwashing Accessories,6622381.068,5389460.669762001,1232920.3982380005,128493.0,0.18617478903405207,0.6622381068,0.12329203982380005,0.0128493
Tomato & Chilli Ketchups,20139399.428000003,18930843.521217998,1208555.9067819996,211679.0,0.060009530626903035,2.0139399428000004,0.12085559067819997,0.0211679
Pulses & Millets,8695534.929,7506374.0895,1189160.8394999998,83912.0,0.13675534043731974,0.8695534929,0.11891608394999997,0.0083912
Dips & Spreads,22220924.136999995,21084262.569044,1136661.567956,205426.0,0.051152758586819905,2.2220924136999995,0.1136661567956,0.0205426
Baking Ingredients & Mixes,6358616.282999999,5225990.159600999,1132626.1233990004,91356.0,0.17812462224322595,0.6358616282999999,0.11326261233990004,0.0091356
Dishwashing Bars,15886271.883000001,14813903.076297998,1072368.8067020008,308851.0,0.06750286125025654,1.5886271883,0.10723688067020008,0.0308851
Peanut Butter,8655855.751000002,7596722.677329,1059133.0736709998,42054.0,0.12236029621318947,0.8655855751000002,0.10591330736709999,0.0042054
Dog Food & Treats,12121380.628999999,11063941.333099004,1057439.2959010005,40509.0,0.08723752914508041,1.2121380628999998,0.10574392959010005,0.0040509
Hair Colour & More,9415266.246,8377507.454498001,1037758.7915020003,63748.0,0.11022086517658317,0.9415266245999999,0.10377587915020003,0.0063748
Nachos,11489691.384,10474676.729675002,1015014.6543249999,236247.0,0.08834133314829162,1.1489691384,0.1015014654325,0.0236247
Papad & Fryums,6052552.152000002,5053302.018737002,999250.1332629998,103229.0,0.16509566678129461,0.6052552152000001,0.09992501332629998,0.0103229
Instant Mixes,11502917.222999997,10523948.180433005,978969.0425669997,162522.0,0.08510615382066372,1.1502917222999998,0.09789690425669997,0.0162522
"Organic Salt, Sugar & Honey",6093239.580999999,5121973.001051001,971266.5799490002,96348.0,0.1594006877683939,0.6093239581,0.09712665799490001,0.0096348
Women's Grooming,6472781.358999999,5508946.489229999,963834.8697699998,41944.0,0.14890582831595994,0.6472781358999999,0.09638348697699997,0.0041944
Flowers & Leaves,3037747.2069999995,2084265.4068269993,953481.8001729997,46327.0,0.31387792834632666,0.30377472069999994,0.09534818001729997,0.0046327
Festive & Occasion Needs,2320748.354,1380586.1480649998,940162.2059350002,16296.0,0.4051116547447092,0.23207483539999998,0.09401622059350002,0.0016296
Bath & Hair Care,5881485.730000001,4982264.984999999,899220.7449999999,32740.0,0.15289006660567034,0.5881485730000001,0.08992207449999999,0.003274
Sweet & Salty,12757519.806,11867296.161749996,890223.6442499998,392102.0,0.06978030665735811,1.2757519806,0.08902236442499997,0.0392102
Vermicelli,6165314.974,5289933.454403002,875381.5195969999,75187.0,0.1419848820844688,0.6165314974,0.08753815195969998,0.0075187
Popcorn,7235986.466,6367669.930749002,868316.5352510005,194996.0,0.11999974562293501,0.7235986466,0.08683165352510006,0.0194996
Cakes & Rolls,14741566.12,13877360.635298997,864205.4847010002,484180.0,0.05862372272159915,1.4741566119999998,0.08642054847010001,0.048418
Coldpress,17707990.301000003,16847747.042131,860243.2588690004,169675.0,0.048579383896569045,1.7707990301000003,0.08602432588690004,0.0169675
Cat Food & Treats,8984627.503,8169951.919199,814675.5838009998,35861.0,0.09067438617004173,0.8984627503,0.08146755838009997,0.0035861
Herbs & Seasoning,4596446.505999999,3785543.313333999,810903.1926659999,47998.0,0.17641958665405602,0.4596446505999999,0.08109031926659999,0.0047998
Combo & Recipes,2203489.2320000003,1394073.8780140001,809415.3539860001,34212.0,0.3673334737612187,0.22034892320000002,0.08094153539860001,0.0034212
Digestive Care,4524953.797,3716514.2566169994,808439.540383,85679.0,0.17866249616051053,0.45249537970000003,0.0808439540383,0.0085679
Masks & Sanitizers,3823407.002,3037679.351016001,785727.650984,38464.0,0.20550458022726611,0.3823407002,0.0785727650984,0.0038464
Disinfectant & More,5524518.004000001,4743785.388137999,780732.6158619998,36668.0,0.14132139949525263,0.5524518004000001,0.07807326158619998,0.0036668
Energy Bars,6899925.626999999,6121421.563769001,778504.0632310001,109892.0,0.11282789196808833,0.6899925627,0.07785040632310002,0.0109892
Noodles & Pasta,3903795.838000001,3142911.0632969993,760884.7747030003,30557.0,0.19490895689176668,0.3903795838000001,0.07608847747030004,0.0030557
Ready to Eat & Cook,4264817.4860000005,3508630.708743002,756186.7772570003,32559.0,0.17730812156424372,0.42648174860000004,0.07561867772570004,0.0032559
Spices & Vinegar,5244078.331999999,4488704.474872999,755373.8571269998,85126.0,0.14404320631856649,0.5244078331999998,0.07553738571269998,0.0085126
Health Drinks,29179097.310000002,28430279.544885,748817.7651150004,84719.0,0.02566281462238286,2.9179097310000004,0.07488177651150005,0.0084719
Sauces & Spreads,2993603.7509999997,2254135.4625309994,739468.288469,13343.0,0.2470160882922411,0.29936037509999996,0.0739468288469,0.0013343
Healthcare Devices,4485269.509,3767653.044822,717616.464178,18751.0,0.15999405670897893,0.44852695089999994,0.0717616464178,0.0018751
Chocolates & Candies,2591467.5840000003,1877751.035414,713716.5485859998,8388.0,0.27541017799819784,0.2591467584,0.07137165485859998,0.0008388
