product_id,product_name,brand_name,unit_selling_price,landing_cost_per_unit,discount_rate,procured_quantity,order_id
401246,Britannia Winkin Cow Chocolate Thick Milkshake,Britannia,27.0,29.914968,0.0,2,112438950
33206,B Natural Apple Juice,B Natural,90.0,95.99501,0.0,2,112440670
33216,B Natural Mixed Fruit Juice,B Natural,72.0,95.995,0.0,2,114695676
404177,,,70.0,84.0,0.0,1,113902951
456090,RiteBite Max Protein Choco Chips Cookies,RiteBite,29.0,29.995306,0.0,1,113903573
104,Aashirvaad Salt 1 kg,Aashirvaad,19.0,20.0,0.0,1,115412628
19735,Glucon-D Tangy Orange Instant Energy Drink Mix,Glucon-D,300.0,314.281,0.0,1,115413261
108920,Saffola Active Pro Weight Watchers Edible Oil,Saffola,216.0,219.965,0.0,1,115414184
20144,Real Fruit Power Litchi Juice,Real,92.0,97.63111,0.0,1,115425402
111843,Maggi Cheesy Tomato Twist Instant Pasta,Maggi,24.0,24.00198,0.0,1,115429860
18575,Vim Lemon Dishwash Gel,Vim,175.0,177.87422,0.0,1,115431911
18322,Mountain Dew Soft Drink,Mountain Dew,60.0,64.806,0.0,1,115433258
18322,Mountain Dew Soft Drink,Mountain Dew,60.0,64.80152,0.0,1,115434736
482197,,,0.0,210.00018,0.0,1,115436769
58051,Revive Instant Starch Powdered Fabric Stiffener,Revive,54.0,58.072952,0.0,1,113116079
18371,Britannia NutriChoice Multigrain Digestive Biscuit,Britannia NutriChoice,64.0,64.102,0.0,1,113136361
15410,Nissin Spiced Chicken Cup Noodles,Nissin,38.0,39.502003,0.0,1,113136888
393,Surf Excel Top Load Matic Detergent Powder,Surf Excel,319.0,446.8995,0.0,2,113138025
427133,Parle Monaco Classic Regular Biscuit,Parle Monaco,96.0,105.598,0.0,2,113157141
423952,Tresemme Keratin Smooth Shampoo,Tresemme,606.0,776.09735,0.0,1,113957080
437997,Bingo Mad Angles Cheese Nachos,Bingo Mad Angles,15.0,16.6,0.0,7,113957360
127687,Lux Jasmine & Vitamin E Beauty Soap Mega Pack 3 x 150 g,Lux,132.0,147.476,0.0,1,113157785
396897,Bingo Tedhe Medhe Masala Tadka Crisps,Bingo Tedhe Medhe,16.0,16.599998,0.0,1,113158369
392931,Britannia NutriChoice Digestive High Fibre Biscuit - Super Saver pack,Britannia NutriChoice,170.0,170.08499,0.0,1,113158782
368445,Kissan Fresh Tomato Ketchup,Kissan,85.0,86.964005,0.0,1,113158812
19184,Colgate Strong Teeth Anticavity Toothpaste,Colgate,202.0,221.39308,0.0,1,113180108
396897,Bingo Tedhe Medhe Masala Tadka Crisps,Bingo Tedhe Medhe,16.0,16.6,0.0,1,113181139
32790,Slice Thickest Mango Drink,Slice,76.0,76.91752,0.0,1,113181534
18555,Surf Excel Easy Wash Detergent Powder,Surf Excel,186.0,187.69719,0.0,3,113957523
475920,Dove Cream Beauty Bathing Soap - Pack of 2,Dove,402.0,449.50274,0.0,1,113979020
402001,Nestle Nestea Lemon Flavour Iced Tea (Ready to Drink),Nestle,25.0,25.032999,0.0,3,113979374
135928,Real Activ 100% Mixed Fruit Juice,Real,120.0,120.34663,0.0,1,113979679
410824,Dabur 100% Pure Squeezy Honey - Buy 1 Get 1 Free,Dabur,156.0,175.707,0.0,1,113979996
383615,KitKat 2 Finger Wafer Bar Share Bag (7 packs inside),KitKat,85.0,85.363945,0.0,1,114000731
133189,Pond's Bright Beauty Serum Face Cream,Pond's,100.0,105.843994,0.0,1,113204209
3889,Coriander Bunch,,3.0,4.0,0.0,1,113204470
