brand_name,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Unibic,4352991.4399999995,3503432.7553340006,849558.6846660003,43131.0,0.19516663342347404,0.43529914399999997,0.08495586846660003,0.0043131
Dhara,13813091.407000002,12975299.565480007,837791.8415199999,69129.0,0.060652016035703325,1.3813091407000002,0.08377918415199999,0.0069129
Dalmia Utsav,11578346.765999999,10741488.998452002,836857.7675480003,97673.0,0.07227782899070243,1.1578346765999998,0.08368577675480003,0.0097673
Ratan Brooms,1610797.626,776588.9178439999,834208.708156,13977.0,0.5178854839931333,0.16107976259999998,0.0834208708156,0.0013977
Schweppes,4830974.183999999,3998173.7046289993,832800.4793709997,75504.0,0.1723876898637138,0.4830974183999999,0.08328004793709998,0.0075504
Limca,9224373.923,8392644.206343003,831729.7166569997,184878.0,0.09016652225937737,0.9224373923,0.08317297166569997,0.0184878
Maaza,8554157.946,7737150.810374005,817007.135626,293015.0,0.09550994274170957,0.8554157946000001,0.0817007135626,0.0293015
Peppy,2564669.587,1748269.049244,816400.537756,45912.0,0.31832581549461014,0.25646695869999997,0.08164005377559999,0.0045912
Nutrela,4124994.553000001,3309386.0872510006,815608.4657490001,56939.0,0.19772352551491962,0.4124994553000001,0.08156084657490001,0.0056939
Sprite,7031582.217999999,6223371.206981999,808211.0110180003,136840.0,0.11494013523003087,0.7031582218,0.08082110110180003,0.013684
Classmate,3672841.2079999996,2868612.6616439996,804228.5463559997,58818.0,0.21896632628828852,0.36728412079999995,0.08042285463559996,0.0058818
Yummiez,5788672.887,4995198.787069999,793474.09993,33082.0,0.13707357721179175,0.5788672887,0.07934740999300001,0.0033082
Bhagyalakshmi Premium,2712422.3830000004,1919854.5386819995,792567.8443179997,50555.0,0.2921992715018823,0.27124223830000005,0.07925678443179997,0.0050555
Vega,2736408.357,1956152.1007959996,780256.2562040001,18238.0,0.2851388222843379,0.2736408357,0.07802562562040001,0.0018238
Prasuma,5516762.714,4736909.31694,779853.3970600003,23141.0,0.1413606924004454,0.5516762714,0.07798533970600004,0.0023141
Britannia Bourbon,6295691.789999999,5518130.423010002,777561.3669899998,84348.0,0.12350689851511931,0.6295691789999999,0.07775613669899997,0.0084348
Farmland,2643578.159,1866168.6118550003,777409.5471450002,17984.0,0.29407473522139965,0.2643578159,0.07774095471450002,0.0017984
Wagh Bakri,7081527.662999998,6307987.563470999,773540.099529,33140.0,0.1092335067150327,0.7081527662999998,0.0773540099529,0.003314
Nescafe,18836719.063,18064888.290622994,771830.7723769997,105279.0,0.040974798731965335,1.8836719063,0.07718307723769997,0.0105279
Eggoz,18857235.973999996,18086371.748546995,770864.2254529999,139929.0,0.04087896161006062,1.8857235973999995,0.07708642254529999,0.0139929
Origami Klassic,2007451.8439999998,1238364.3862709992,769087.4577290005,29113.0,0.3831162675347347,0.20074518439999997,0.07690874577290005,0.0029113
Cream Pot,4763570.329,3996947.049628,766623.2793720003,35341.0,0.16093459871997626,0.4763570329,0.07666232793720003,0.0035341
Aashirvaad,87286464.303,86523125.7242,763338.5788000011,401468.0,0.008745211355453716,8.7286464303,0.0763338578800001,0.0401468
Sunfeast Dark Fantasy,7973042.5600000005,7212191.349878998,760851.2101210002,93394.0,0.09542796296336341,0.7973042560000001,0.07608512101210002,0.0093394
Parle-G,9522253.71,8772262.834889002,749990.875111,133738.0,0.0787619084674651,0.952225371,0.0749990875111,0.0133738
Garden,4584949.778,3839066.680264999,745883.097735,71973.0,0.16268075635505902,0.4584949778,0.07458830977349999,0.0071973
Cornitos,6298135.123999999,5554058.319427999,744076.8045719998,106563.0,0.11814240087301117,0.6298135123999999,0.07440768045719998,0.0106563
