brand_name,revenue,total_qty,profit,profit_margin
G Fresh,6074950.446000001,96281.0,1074274.6686540004,0.17683677886810537
BRU,6026060.16,39706.0,226010.76735999997,0.037505561072924964
Mr. Makhana,5992917.998000002,76467.0,1333475.177906,0.2225084972547625
Nature Fresh,5968792.0709999995,32994.0,288459.61013000004,0.048327971002962426
Parachute,5919042.704,43426.0,311366.3803740002,0.052604178740522256
Godrej Aer,5904881.804,33442.0,646564.6183899996,0.10949662327737249
Yummiez,5788672.887,33082.0,793474.09993,0.13707357721179175
PediaSure,5784687.943,8978.0,365795.94253,0.06323520752275781
KitKat,5760900.460000001,84677.0,350298.580675,0.06080621998370719
GHD,5602125.072,70478.0,1297537.1188589989,0.23161516427832424
Colgate MaxFresh,5585113.551999999,41374.0,48193.03166399999,0.008628836498184056
Modern,5575195.856000001,140468.0,1390374.2012220002,0.24938571435579
Nissin,5561439.216,128801.0,-21570.455478000084,-0.0038785743474356233
Paras,5552188.0,11528.0,223137.53605000002,0.040189117524478644
Prasuma,5516762.714,23141.0,779853.3970600003,0.1413606924004454
Ghadi,5492950.756000001,103877.0,400202.75668799994,0.07285751765585277
Paper Boat,5347825.77,124053.0,905734.4998110003,0.1693649978075109
Quaker,5339675.976,35267.0,203057.66016100015,0.03802808654938506
Cadbury,5276264.589,72679.0,139570.50799,0.026452522544259394
Odonil,5204433.934,39378.0,-824713.6503500004,-0.15846366018064634
Nutella,5194759.499999998,14035.0,583210.47208,0.11226900342162138
Godrej Protekt,5153487.238,58071.0,145732.74978600006,0.028278473013655315
Bingo Mad Angles,5133270.898999999,202011.0,-8692.097760000006,-0.001693286392053319
Godrej No.1,5066985.499,36945.0,308312.52792500006,0.06084732786108178
Cinthol,5052322.214,28120.0,-42354.04685900001,-0.008383085057725895
Carnivore,5016382.521,25956.0,1524336.1983079994,0.3038716030778546
D'lecta,5011300.365,45436.0,-23811.313368999996,-0.004751523882963259
Hommade,4969222.113000001,114112.0,345972.2433010001,0.06962301853964241
Colin,4968808.336999999,40526.0,180440.678222,0.036314678688319876
Organic India,4964401.975000001,24922.0,879189.6703719998,0.17709880763070154
Horlicks,4946276.312999999,15187.0,-109685.69859,-0.022175408660797962
Fresca,4926968.272,92598.0,1542117.6353339988,0.31299524376843785
Mamaearth,4862825.610000001,19936.0,984624.3473449999,0.20247988028199096
Bhagyalakshmi,4843143.711,99096.0,1186654.645527,0.24501743419915628
Schweppes,4830974.183999999,75504.0,832800.4793709997,0.1723876898637138
Nivea Men,4829996.188000001,27103.0,-447597.8823399999,-0.09267044215315223
Tops,4794811.017999999,73352.0,984877.6635960004,0.20540489706449586
Slice,4789281.795999999,68663.0,44355.506029999975,0.009261410775002971
Cream Pot,4763570.329,35341.0,766623.2793720003,0.16093459871997626
Keya,4715237.500999999,52155.0,892548.7126719996,0.1892902982050659
Ching's Secret,4694523.486,73362.0,973745.3034569996,0.20742154264663948
Go,4671644.459000001,38125.0,-286472.5936950001,-0.06132157449249073
SaveMore,4630737.044,60306.0,1700206.6757790002,0.3671568175053129
Act II,4591632.350999999,156944.0,506897.9333139999,0.1103960192291101
Garden,4584949.778,71973.0,745883.097735,0.16268075635505902
Natureland,4538915.507999999,38321.0,299536.394513,0.0659929434652521
